City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Kaitangata,NZ,-46.2817,169.8464,36.84,85,100,1.99,overcast clouds
329,Alyangula,AU,-13.8483,136.4192,51.67,93,8,0.0,clear sky
330,Boa Vista,BR,2.8197,-60.6733,84.18,70,75,2.3,broken clouds
331,Trinidad,BO,-14.8333,-64.9,91.38,40,20,9.22,few clouds
332,Amanganj,IN,24.4333,80.0333,74.93,92,62,8.25,light rain
333,Cusset,FR,46.13,3.4596,67.37,79,7,4.12,clear sky
334,Cidreira,BR,-30.1811,-50.2056,63.59,84,4,10.98,clear sky
335,Zhigansk,RU,66.7697,123.3711,64.99,39,99,17.96,overcast clouds
336,Mackay,AU,-21.15,149.2,59.04,93,3,5.75,clear sky
337,Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,9.22,broken clouds
338,Bilma,NE,18.6853,12.9164,98.74,21,88,13.09,overcast clouds
339,Mozarlandia,BR,-14.7447,-50.5706,87.1,26,100,8.68,overcast clouds
340,Catuday,PH,16.2923,119.8062,80.37,84,100,17.38,overcast clouds
341,Nuwara Eliya,LK,6.9708,80.7829,58.15,95,100,5.1,overcast clouds
342,Yining,CN,29.0361,114.5636,76.89,92,55,1.68,broken clouds
343,Bollnas,SE,61.3482,16.3946,59.13,98,100,9.69,moderate rain
344,Ono,JP,34.85,134.9333,78.26,75,3,2.91,clear sky
345,Narsaq,GL,60.9167,-46.05,52.02,94,100,9.51,heavy intensity rain
346,Chimore,BO,-16.9833,-65.1333,93.52,22,5,7.34,clear sky
